part_lpn,override_type,override_value,reason
10-000989,sourcing_flat_qty,1,Product BOM fix: OPTOISOLATOR 5KV TRANSISTOR 4SMD (CM name incorrectly assigned as vendor) — temporary
10-001011,makebuy,Buy,Product BOM fix: RES 5.1K OHM 1% 1/10W 75V 0603 (CM name incorrectly assigned as vendor) — temporary
10-001011,sourcing_flat_qty,9,Product BOM fix: RES 5.1K OHM 1% 1/10W 75V 0603 (CM name incorrectly assigned as vendor) — temporary
10-001057,makebuy,Buy,Product BOM fix: RES SMD 3.9 OHM 1% 1/3W 0805 AEC-Q (CM name incorrectly assigned as vendor) — temporary
10-001057,sourcing_flat_qty,1,Product BOM fix: RES SMD 3.9 OHM 1% 1/3W 0805 AEC-Q (CM name incorrectly assigned as vendor) — temporary
10-001072,makebuy,Buy,Product BOM fix: DIODE GEN PURP 200V 3A SOD128 AEC-Q (CM name incorrectly assigned as vendor) — temporary
10-001072,sourcing_flat_qty,3,Product BOM fix: DIODE GEN PURP 200V 3A SOD128 AEC-Q (CM name incorrectly assigned as vendor) — temporary
10-001075,makebuy,Buy,Product BOM fix: DIODE SCHOTTKY 100V 3A DO214AB AEC-Q (CM name incorrectly assigned as vendor) — temporary
10-001075,sourcing_flat_qty,3,Product BOM fix: DIODE SCHOTTKY 100V 3A DO214AB AEC-Q (CM name incorrectly assigned as vendor) — temporary
10-001129,makebuy,Buy,Product BOM fix: RES SMD 1K OHM 1% 1/10W 0603 AEC-Q (CM name incorrectly assigned as vendor) — temporary
10-001129,sourcing_flat_qty,2,Product BOM fix: RES SMD 1K OHM 1% 1/10W 0603 AEC-Q (CM name incorrectly assigned as vendor) — temporary
10-001153,makebuy,Buy,Product BOM fix: RES SMD 10 OHM 1% 1/3W 0603 AEC-Q (CM name incorrectly assigned as vendor) — temporary
10-001153,sourcing_flat_qty,8,Product BOM fix: RES SMD 10 OHM 1% 1/3W 0603 AEC-Q (CM name incorrectly assigned as vendor) — temporary
10-001161,makebuy,Buy,Product BOM fix: RES SMD 16K OHM 5% 1/4W 0603 ANTI-SURGE AEC-Q (CM name incorrectly assigned as vendor) — temporary
10-001161,sourcing_flat_qty,1,Product BOM fix: RES SMD 16K OHM 5% 1/4W 0603 ANTI-SURGE AEC-Q (CM name incorrectly assigned as vendor) — temporary
10-001191,makebuy,Buy,"Product BOM fix: DUAL, ZERO-DRIFT OP AMP, E TEMP (CM name incorrectly assigned as vendor) — temporary"
